"icao","airport"
"MUVR","Juan Gualberto Gomez Airport"
"MUCA","Maximo Gomez  Airport"
"MUBY","Carlos Manuel de Cespedes Airport"
"MUSC","Abel Santamaria Airport"
"MUCF","Jaime Gonzalez Airport"
"MULM","La Coloma Airport"
"MUPB","Playa Baracoa Airport"
"MUSJ","San Julian Air Base"
"MUCC","Jardines del Rey Airport"
"MUTD","Alberto Delgado Airport"
"MUVT","Hermanos Ameijeiras Airport"
"MUHA","Jose Marti International Airport"
"MUCU","Antonio Maceo International Airport"
"MUHG","Frank Pais Airport"
"MUCL","Vilo Acuna Airport"
"MUMZ","Sierra Maestra Airport"
"GVAN","Agostinho Neto Airport"
"GVSV","Cesaria Evora Airport"
"GVNP","Nelson Mandela International Airport"
"GVMT","Mosteiros Airport"
"GVBA","Aristides Pereira International Airport (Rabil Airport)"
"GVBR","Esperadinha Airport"
"GVAC","Amilcar Cabral International Airport"
"GVMA","Maio Airport"
"GVSF","Sao Filipe Airport"
"GVSN","Preguica Airport"
"TNCC","Curacao International Airport (Hato Int'l Airport)"
"YPXM","Christmas Island Airport"
"LCPH","Paphos International Airport"
"LCLK","Larnaca International Airport"
"LCGK","Gecitkale Air Base"
"LCEN","Ercan International Airport"
"LCRA","RAF Akrotiri"
"LKPO","Prerov Airport"
"LKCS","Ceske Budejovice Airport (Plana Airport)"
"LKPD","Pardubice Airport"
"LKKU","Kunovice Airport"
"LKHO","Holesov Airport"
"LKZA","Zabreh Airport"
"LKMT","Leos Janacek Airport"
"LKPR","Vaclav Havel Airport Prague"
"LKTB","Brno-Turany Airport"
"LKOL","Olomouc Airport (Neredin Airport)"
"LKVO","Vodochody Airport"
"LKKV","Karlovy Vary Airport"
"LKMR","Marianske Lazne Airport"
"EDAH","Heringsdorf Airport"
"EDKA","Merzbruck Airport"
"EDLV","Weeze Airport (Niederrhein Airport)"
"ETOU","Wiesbaden Army Airfield"
"EDLW","Dortmund Airport"
"EDXB","Heide-Busum Airport"
"EDXO","Sankt Peter-Ording Airport"
"EDDT","Berlin Tegel Airport"
"EDHL","Lubeck Airport"
"EDXH","Heligoland Airport (Dune Airport)"
"EDFH","Frankfurt-Hahn Airport"
"EDGE","Eisenach-Kindel Airport"
"EDDK","Cologne Bonn Airport"
"ETMN","Nordholz Naval Airbase"
"EDDE","Erfurt-Weimar Airport"
"ETIN","Kitzingen Airport"
"EDDN","Nuremberg Airport"
"EDWU","Varrelbusch Airport"
"EDNY","Friedrichshafen Airport (Bodensee Airport)"
"EDGS","Siegerland Airport"
"EDWI","JadeWeserAirport"
"EDRZ","Zweibrucken Airport"
"EDQM","Hof-Plauen Airport"
"EDTL","Flughafen Lahr (Lahr Airport)"
"EDDR","Saarbrucken Airport"
"EDWL","Langeoog Airport"
"EDDS","Stuttgart Airport"
"EDHI","Hamburg Finkenwerder Airport"
"ETEU","Giebelstadt Airport"
"EDDM","Munich Airport"
"EDMO","Oberpfaffenhofen Airport"
"EDDP","Leipzig/Halle Airport"
"EDWS","Norddeich Airport"
"EDDB","Berlin Brandenburg Airport"
"ETSF","Furstenfeldbruck Air Base"
"EDWD","Lemwerder Airport"
"EDWY","Norderney Airport"
"EDMA","Augsburg Airport"
"EDLI","Bielefeld Airport"
"EDWG","Wangerooge Airport"
"EDWJ","Juist Airport"
"EDLN","Dusseldorf Monchengladbach Airport"
"EDXY","Wyk auf Fohr Airport"
"EDAQ","Halle-Oppin Airport"
"ETHF","Fritzlar Air Base"
"ETAR","Ramstein Air Base"
"EDVK","Kassel Airport"
"ETNU","Neubrandenburg Airport"
"EDDB","Berlin Schonefeld Airport"
"ETNL","Rostock-Laage Airport"
"EDCK","Kothen Airport"
"EDAU","Riesa-Gohlis Airfield"
"EDDF","Frankfurt Airport"
"EDAC","Leipzig-Altenburg Airport"
"EDQE","Burg Feuerstein Airport"
"ETSI","Ingolstadt Manching Airport"
"EDWR","Borkum Airfield"
"EDSB","Karlsruhe/Baden-Baden Airport"
"EDWZ","Baltrum Airport"
"EDLP","Paderborn Lippstadt Airport"
"ETIK","Illesheim Army Airfield"
"EDDW","Bremen Airport"
"EDAX","Rechlin-Larz Airfield"
"EDCP","Peenemunde Airfield"
"EDBH","Stralsund-Barth Airport"
"EDHK","Kiel Airport"
"EDRB","Bitburg Airport "
"EDVE","Braunschweig-Wolfsburg Airport"
"EDLE","Essen/Mulheim Airport"
"EDCG","Rugen Airport (Guttin Airfield)"
"EDDC","Dresden Airport"
"EDMS","Straubing Wallmuhle Airport"
"EDHN","Neumunster Airport"
"EDBC","Magdeburg-Cochstedt Airport"
"ETUO","RAF Gutersloh"
"EDDG","Munster Osnabruck International Airport"
"EDJA","Memmingen Airport"
"ETNG","NATO Air Base Geilenkirchen"
"EDXW","Sylt Airport (Westerland Airport)"
"EDQD","Bindlacher Berg Airport"
"EDXF","Flensburg-Schaferhaus Airport"
"EDOP","Schwerin-Parchim International Airport"
"EDFM","Mannheim City Airport"
"EDWE","Emden Airport"
"ETAD","Spangdahlem Air Base"
"EDDV","Hannover Airport"
"EDDH","Hamburg Airport"
"EDXJ","Husum Schwesing Airport"
"ETNS","Schleswig Air Base"
"EDDL","Dusseldorf Airport"
"ETIE","Heidelberg Airport"
"EDWB","Bremerhaven Airport"
"EDCD","Cottbus-Drewitz Airport"
"HDMO","Moucha Airport"
"HDAM","Djibouti-Ambouli International Airport"
"HDAS","Ali-Sabieh Airport"
"HDTJ","Tadjoura Airport"
"HDOB","Obock Airport"
"EKMB","Lolland Falster Airport"
"EKRN","Bornholm Airport"
"EKYT","Aalborg Airport"
"EKSB","Sonderborg Airport"
"EKAH","Aarhus Airport"
"EKSP","Vojens Airport (Skrydstrup Airport)"
"EKVJ","Stauning Vestjylland Airport"
"EKSV","Skive Airport"
"EKEB","Esbjerg Airport"
"EKKA","Karup Airport"
"EKRK","Roskilde Airport"
"EKLS","Laesoe Airport"
"EKTS","Thisted Airport"
"EKOD","Hans Christian Andersen Airport"
"EKCH","Copenhagen Airport"
"EKBI","Billund Airport"
"EKSN","Sindal Airport"
"TDPD","Douglas-Charles Airport"
"TDCF","Canefield Airport"
"MDAB","Arroyo Barril Airport"
"MDSD","Las Americas International Airport"
"MDBH","Maria Montez International Airport"
"MDPC","Punta Cana International Airport"
"MDST","Cibao International Airport"
"MDJB","La Isabela International Airport (Dr. Joaquin Balaguer Int'l)"
"MDPP","Gregorio Luperon International Airport"
"MDCZ","Constanza Airport"
"MDCY","Samana El Catey International Airport"
"MDCR","Cabo Rojo Airport"
"DAUG","Noumerat - Moufdi Zakaria Airport"
"DAON","Zenata - Messali El Hadj Airport"
"DAOI","Chlef International Airport"
"DATM","Bordj Mokhtar Airport"
"DAOS","Sidi Bel Abbes Airport"
"DAUI","In Salah Airport"
"DATG","In Guezzam Airport"
"DAUH","Oued Irara-Krim Belkacem Airport"
"DAAY","Mecheria Airport"
"DAUE","El Golea Airport"
"DAOV","Ghriss Airport"
"DAOF","Tindouf Airport"
"","Mostaganem Airport"
"DAAP","Takhamalt Airport"
"DAUA","Touat-Cheikh Sidi Mohamed Belkebir Airport"
"DABP","Skikda Airport"
"DAFH","Hassi R'Mel Airport (Tilrempt Airport)"
"DAUK","Sidi Mahdi Airport"
"DAAE","Soummam - Abane Ramdane Airport"
"DAOO","Oran Es Senia Airport"
"DAAJ","Tiska Djanet Airport"
"DAUL","L'Mekrareg Airport (Laghouat Airport)"
"DABB","Rabah Bitat Airport (Les Salines Airport)"
"DAUT","Timimoun Airport"
"DAAV","Jijel Ferhat Abbas Airport"
"DAOB","Abdelhafid Boussouf Bou Chekif Airport"
"DAOY","El Bayadh Airport"
"DAUZ","In Amenas Airport (Zarzaitine Airport)"
"DAUU","Ain Beida Airport"
"DAOR","Boudghene Ben Ali Lotfi Airport"
"DAAS","Ain Arnat Airport"
"DAUB","Biskra Airport"
"DAAT","Aguenar -Hadj Bey Akhamok Airport"
"DAUO","Guemar Airport"
"DAAD","Bou Saada Airport"
"DABT","Mostepha Ben Boulaid Airport"
"DAAG","Houari Boumediene Airport"
"DABS","Cheikh Larbi Tebessi Airport"
"DAOL","Oran Tafaraoui Airport"
"DABC","Mohamed Boudiaf International Airport"
"","Mendez Airport"
"SEMC","Edmundo Carvajal Airport"
"SEST","San Cristobal Airport"
"SETM","Ciudad de Catamayo Airport"
"SEPT","Putumayo Airport"
"SETI","Tiputini Airport"
"SEMH","General Manuel Serrano Airport"
"SESV","Los Perales Airport"
"SESC","Sucua Airport"
"SERO","Santa Rosa International Airport"
"SECO","Francisco de Orellana Airport"
"","Cotopaxi International Airport"
"SEJD","Jumandy Airport"
"SEPV","Reales Tamarindos Airport"
"SEAM","Chachoan Airport"
"SETN","Carlos Concha Torres International Airport"
"SEJI","Jipijapa Airport"
"SEGS","Seymour Airport"
"SEMT","Eloy Alfaro International Airport"
"SECU","Mariscal Lamar International Airport"
"SEMA","Jose Maria Velasco Ibarra Airport"
"SETH","Taisha Airport"
"SENL","Lago Agrio Airport"
"SESA","General Ulpiano Paez Airport"
"SEPA","Rio Amazonas Airport"
"SEQM","Mariscal Sucre International Airport"
"SETU","Teniente Coronel Luis a Mantilla International Airport"
"SEII","General Villamil Airport"
"SETR","Tarapoa Airport"
"SEGU","Jose Joaquin de Olmedo International Airport"
"EEKE","Kuressaare Airport"
"EETU","Tartu Airport"
"EETN","Tallinn Airport (Lennart Meri Tallinn Airport)"
"EEKA","Kardla Airport"
"EEPU","Parnu Airport"
"HELX","Luxor International Airport"
"HETB","Taba International Airport"
"","Abu Rudeis Airport"
"HEAL","Al Alamain International Airport"
"HEMK","Sohag International Airport"
"HEAX","El Nouzha Airport"
"","Wadi al Jandali Airport"
"HESH","Sharm el-Sheikh International Airport"
"","Sidi Barrani Airport"
"HESC","St. Catherine International Airport"
"HEAR","El Arish International Airport"
"HETR","El Tor Airport"
"HEBA","Borg El Arab Airport"
"HEAT","Assiut Airport"
"HESN","Aswan International Airport"
"HEPS","Port Said Airport"
"HEBL","Abu Simbel Airport"
"HEKG","El Kharga Airport"
"HEDK","Dakhla Oasis Airport"
"HEMM","Marsa Matruh International Airport"
"HE25","El Minya Airport"
"","Sphinx International Airport"
"HEMA","Marsa Alam International Airport"
"HEOW","Sharq Al-Owainat Airport"
"HECA","Cairo International Airport"
"","Siwa Oasis North Airport"
"HEGN","Hurghada International Airport"
"HHTS","Teseney Airport"
"HHSB","Assab International Airport"
"HHAS","Asmara International Airport"
"HHMS","Massawa International Airport"
"GCGM","La Gomera Airport"
"LEMH","Menorca Airport (Mahon Airport)"
"GCLP","Gran Canaria Airport"
"LEMD","Adolfo Suarez Madrid-Barajas Airport"
"LEBL","Barcelona El Prat Airport"
"LESO","San Sebastian Airport"
"LELO","Logrono-Agoncilo"
"LEAL","Alicante-Elche Airport"
"LEBZ","Badajoz Airport (Talavera la Real Air Base)"
"LEGR","Federico Garcia Lorca Airport (Granada Jaen Airport)"
"LEAB","Albacete Airport"
"GCFV","Fuerteventura Airport"
"GCRR","Lanzarote Airport"
"LERT","Naval Station Rota"
"LEST","Santiago de Compostela Airport"
"LEBA","Cordoba Airport"
"LEJR","Jerez Airport (La Parra Airport)"
"LEIB","Ibiza Airport"
"LEVX","Vigo-Peinador Airport"
"LEZL","Seville Airport"
"GCLA","La Palma Airport"
"LEPP","Pamplona Airport"
"LEVD","Valladolid Airport"
"LERL","Ciudad Real Central Airport"
"LEPA","Palma de Mallorca Airport"
"LETL","Teruel Airport"
"LERS","Reus Airport"
"LESU","La Seu d'Urgell Airport"
"LEGE","Girona-Costa Brava Airport"
"LEVC","Valencia Airport"
"LEHC","Huesca-Pirineos Airport"
"LELN","Leon Airport"
"LEDA","Lleida-Alguaire Airport"
"LEMI","Region de Murcia International Airport"
"LEMO","Moron Air Base"
"LEAM","Almeria Airport"
"GCHI","El Hierro Airport"
"LELC","Murcia-San Javier Airport"
"LECH","Castellon-Costa Azahar Airport"
"LEVT","Vitoria Airport"
"LESA","Salamanca Airport"
"LETO","Madrid-Torrejon Airport"
"LEBG","Burgos Airport"
"LECO","A Coruna Airport"
"LEMG","Malaga Airport"
"LEAS","Asturias Airport (Oviedo Airport)"
"LEBB","Bilbao Airport"
"GEML","Melilla Airport"
"LEXJ","Santander Airport"
"LEZG","Zaragoza Airport"
"LESU","Andorra-La Seu Airport"
"HAAB","Addis Ababa Bole International Airport"
"HAML","Mena Airport"
"HAWR","Warder Airport"
"HAPW","Beles Airport"
"HAWC","Wacca Airport"
"","Asella Airport"
"HADR","Aba Tenna Dejazmach Yilma International Airport"
"HAMN","Mendi Airport"
"HABD","Bahir Dar Airport"
"HATP","Tippi Airport"
"HAGN","Gondar Airport (Atse Tewodros Airport)"
"","Geladi Airport"
"HANK","Nekemte Airport"
"HAKD","Kabri Dar Airport"
"HALA","Awasa Airport"
"HAMR","Mui Airport"
"HAMM","Genda Wuha Airport"
"HADD","Dembidolo Airport"
"HAMJ","Tum Airport"
"HAAB","Bole International Airport"
"HAMK","Alula Aba Nega Airport"
"HAGH","Ginir Airport"
"HANG","Neghelle Airport"
"HAAX","Axum Airport"
"HABB","Bedele Airport (Buno Bedele Airport)"
"","Degeh Bur Airport"
"HAJJ","Wilwal International Airport"
"HAJM","Aba Segud Airport"
"HASM","Semera Airport"
"HANJ","Nejjo Airport"
"HAGR","Gore Airport"
"HAMT","Mizan Teferi Airport"
"HAGB","Robe Airport"
"HABC","Baco Airport (Jinka Airport)"
"HASK","Shakiso Airport"
"HASD","Soddu Airport"
"HALL","Lalibela Airport"
"","Mota Airport"
"HAMA","Mekane Selam Airport"
"HAHU","Humera Airport"
"HABE","Beica Airport"
"HASL","Shilavo Airport"
"HAAM","Arba Minch Airport"
"HAFN","Fincha Airport"
"HADM","Debre Marqos Airport"
"HAKL","Kelafo Airport"
"","Shire Airport"
"HABU","Bulchi Airport"
"HADT","Debre Tabor Airport"
"HAGM","Gambela Airport"
"HADC","Combolcha Airport"
"HAGO","Gode Airport"
"HASO","Asosa Airport"
"EFTU","Turku Airport"
"EFPO","Pori Airport"
"EFJY","Jyvaskyla Airport"
"EFKU","Kuopio Airport"
"EFUT","Utti Airport"
"EFVR","Varkaus Airport"
"EFSI","Seinajoki Airport"
"EFHV","Hyvink- Airfield"
"EFYL","Ylivieska Airfield"
"EFKK","Kokkola-Pietarsaari Airport"
"EFHA","Halli Airport"
"EFVA","Vaasa Airport"
"EFLP","Lappeenranta Airport"
"EFSA","Savonlinna Airport"
"EFMA","Mariehamn Airport"
"EFKE","Kemi-Tornio Airport"
"EFIT","Kitee Airfield"
"EFIV","Ivalo Airport"
"EFKA","Kauhava Airfield"
"EFKT","Kittila Airport"
"EFSO","Sodankyla Airfield"
"EFJO","Joensuu Airport"
"EFOU","Oulu Airport"
"EFRO","Rovaniemi Airport"
"EFHF","Helsinki-Malmi Airport"
"EFKJ","Kauhajoki Airfield"
"EFHK","Helsinki Airport (Helsinki-Vantaa Airport)"
"EFKI","Kajaani Airport"
"EFTP","Tampere-Pirkkala Airport"
"EFMI","Mikkeli Airport"
"EFET","Enontekio Airport"
"EFKS","Kuusamo Airport"
"NFMO","Moala Airport"
"NFNS","Savusavu Airport"
"NFNW","Wakaya Airport"
"NFMA","Mana Island Airport"
"","Blue Lagoon Seaplane Base"
"NFKD","Vunisea Airport"
"NFND","Pacific Harbour Airport"
"NFNU","Dama Airport"
"NFOL","Ono-i-Lau Airport"
"","Korolevu Seaplane Base"
"","Turtle Island Seaplane Base"
"NFNO","Koro Airport"
"NFNH","Laucala Airport"
"NFNA","Nausori International Airport"
"","Natadola Seaplane Base"
"NFNL","Labasa Airport"
"NFVL","Vatulele Airport"
"NFNB","Levuka Airfield (Bureta Airport)"
"NFNG","Gau Airport"
"NFNK","Lakeba Airport"
"NFFN","Nadi International Airport"
"","Saqani Airport"
"NFNM","Matei Airport"
"NFNV","Vatukoula Airport"
"NFNR","Rotuma Airport"
"NFVB","Vanuabalavu Airport"
"NFSW","Yasawa Island Airport"
"NFCS","Castaway Island Seaplane Base"
"NFFR","Rabi Airport"
"NFCI","Cicia Airport"
"NFFO","Malolo Lailai Airport"
"SFAL","Port Stanley Airport"
"EKVG","Vagar Airport"
"EGYP","RAF Mount Pleasant"
"","Ulithi Airport (FAA: TT02)"
"PTYA","Yap International Airport"
"PTKK","Chuuk International Airport"
"PTSA","Kosrae International Airport"
"PTPN","Pohnpei International Airport"
"LFHP","Le Puy - Loudes Airport"
"LFAB","Dieppe - Saint-Aubin Airport"
"LFOH","Le Havre - Octeville Airport"
"LFRJ","Landivisiau Air Base"
"LFSD","Dijon Air Base"
"LFBH","La Rochelle - Ile de Re Airport"
"LFSZ","Vittel - Champ-de-Courses Airport"
"LFHM","Megeve Altiport"
"LFRI","La Roche-sur-Yon Aerodrome"
"LFMT","Montpellier-Mediterranee Airport (Frejorgues Airport)"
"LFLS","Grenoble-Isere Airport"
"LFRH","Lorient South Brittany Airport (Lann-Bihoue Airport)"
"LFSF","Metz-Frescaty Air Base"
"LFNA","Gap-Tallard Airport"
"LFBT","Tarbes-Lourdes-Pyrenees Airport"
"LFOE","Evreux-Fauville Air Base"
"LFBG","Cognac - Chateaubernard Air Base"
"LFRG","Deauville - Saint-Gatien Airport"
"LFSR","Reims - Champagne Airport"
"LFOO","Les Sables-d'Olonne - Talmont Airport"
"LFLY","Lyon-Bron Airport"
"LFPC","Creil Air Base"
"LFKC","Calvi - Sainte-Catherine Airport"
"LFRM","Le Mans Arnage Airport"
"LFCC","Cahors - Lalbenque Airport"
"LFLC","Clermont-Ferrand Auvergne Airport"
"LFMN","Nice Cote d'Azur Airport"
"LFKS","Solenzara Air Base"
"LFRD","Dinard-Pleurtuit-Saint-Malo Airport"
"LFOU","Cholet Le Pontreau Airport"
"LFAT","Le Touquet - Cote d'Opale Airport"
"LFCR","Rodez-Marcillac Airport"
"LFTZ","La Mole - Saint-Tropez Airport"
"LFLP","Annecy - Haute-Savoie - Mont Blanc Airport"
"LFKX","Meribel Altiport"
"LFLU","Valence-Chabeuil Airport"
"LFOT","Tours Val de Loire Airport"
"LFQQ","Lille Airport (Lille-Lesquin Airport)"
"LFRC","Cherbourg - Maupertus Airport"
"LFBA","Agen La Garenne Airport"
"LFBL","Limoges - Bellegarde Airport"
"LFJL","Metz-Nancy-Lorraine Airport"
"LFBN","Niort - Souche Airport"
"LFAQ","Albert - Picardie Airport"
"LFOP","Rouen Airport"
"LFLL","Lyon-Saint-Exupery Airport"
"LFOV","Laval Entrammes Airport"
"LFMD","Cannes - Mandelieu Airport"
"LFBD","Bordeaux-Merignac Airport"
"LFGJ","Dole-Jura Airport"
"LFHU","Alpe d'Huez Airport"
"LFRB","Brest Bretagne Airport"
"LFRT","Saint-Brieuc - Armor Airport"
"LFEY","Ile d'Yeu Aerodrome"
"LFKJ","Ajaccio Napoleon Bonaparte Airport"
"LFML","Marseille Provence Airport"
"LFBE","Bergerac Dordogne Perigord Airport"
"LFLD","Bourges Airport"
"LFMH","Saint-Etienne-Boutheon Airport"
"LFCY","Royan - Medis Aerodrome"
"LFAC","Calais-Dunkerque Airport"
"LFRE","La Baule-Escoublac Airport"
"LFJR","Angers - Loire Airport"
"LFBU","Angouleme - Cognac International Airport"
"LFRZ","Saint-Nazaire Montoir Airport"
"LFKO","Propriano Airport"
"LFCI","Le Sequestre Airport"
"LFSG","Epinal - Mirecourt Airport"
"LFRS","Nantes Atlantique Airport"
"LFLN","Saint-Yan Airport (Charolais Bourgogne Sud Airport)"
"LFRO","Lannion - Cote de Granit Airport"
"LFNC","Mont-Dauphin - Saint-Crepin Airport"
"LFOZ","Orleans - Saint-Denis-de-l'Hotel port"
"LFQG","Nevers - Fourchambault Airport"
"LFHO","Aubenas Aerodrome (Arddecheche Meridionale Aerodrom)"
"LFLV","Vichy - Charmeil Airport"
"LFQT","Merville-Calonne Airport"
"LFKB","Bastia - Poretta Airport"
"LFRN","Rennes-Saint-Jacques Airport"
"LFRK","Caen - Carpiquet Airport"
"LFBK","Montlucon - Gueret Airport"
"LFBZ","Biarritz Pays Basque Airport"
"LFKF","Figari-Sud Corse Airport"
"LFMK","Carcassonne Airport"
"LFLO","Roanne Renaison Airport"
"LFST","Strasbourg Airport"
"LFSN","Nancy-Essey Airport"
"LFLA","Auxerre - Branches Aerodrome"
"LFLW","Aurillac - Tronquieres Airport"
"LFRQ","Quimper-Cornouaille Airport"
"LFLB","Chambery-Savoie Airport"
"LFNB","Brenoux Airport"
"LFMV","Avignon - Provence Airport"
"LFMU","Beziers Cap d'Agde Airport"
"LFCK","Castres-Mazamet Airport"
"LFGA","Colmar - Houssen Airport"
"LFTH","Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport)"
"LFBO","Toulouse-Blagnac Airport"
"LFMP","Perpignan-Rivesaltes Airport"
"LFTW","Nimes-Ales-Camargue-Cevennes Airport (Garons Airport)"
"LFDN","Rochefort - Saint-Agnant Airport"
"LFLJ","Courchevel Altiport"
"LFRF","Granville-Mont-Saint-Michel Aerodrome (fr)"
"LFBX","Perigueux Bassillac Airport"
"LFSL","Brive-Souillac Airport"
"LFMA","Aix-en-Provence Aerodrome"
"LFMR","Barcelonnette - Saint-Pons Airport"
"LFLX","Chateauroux-Centre Marcel Dassault Airport"
"LFBI","Poitiers-Biard Airport"
"LFMQ","Le Castellet Airport"
"LFBP","Pau Pyrenees Airport"
"LFRU","Morlaix - Ploujean Airport"
"LFRV","Meucon Airport"
"LFPN","Toussus-le-Noble Airport"
"LFHS","Bourg – Ceyzériat Airport"
"LFHY","Moulins – Montbeugny Airport"
"LFQV","Charleville-Mézières Aerodrome"
"LFMI","Istres-Le Tubé Air Base"
"LFPG","Paris Charles de Gaulle Airport"
"FOOL","Léon-Mba International Airport"
"","Ouanga Airport"
"FOOH","Omboue Hospital Airport"
"","Wora na Yeno Airport"
"","Biawonque Airport"
"","Wagny Airport"
"FOGA","Akieni Airport"
"FOGF","Fougamou Airport"
"FOGW","Alowe Airport"
"FOGB","Booue Airport"
"FOOB","Bitam Airport"
"","Lekoni Airport"
"","Gamba Airport"
"FOOY","Mayumba Airport"
"","Kongo Boumba Airport"
"FOGK","Koulamoutou Airport"
"","Manega Airport"
"FOGV","Minvoul Airport"
"FOOM","Mitzic Airport"
"FOOL","Libreville International Airport"
"FOGQ","Okondja Airport"
"","Miele Mimbale Airport"
"","Owendo Airport"
"FOOK","Makokou Airport"
"FOOD","Moanda Airport"
"FOGR","Lambarene Airport"
"FOOG","Port-Gentil International Airport"
"FOOI","Tchongorove Airport"
"","Mevang Airport"
"FOOE","Mekambo Airport"
"FOON","M'Vengue El Hadj Omar Bongo Ondimba International Airport"
"FOOT","Tchibanga Airport"
"FOOR","Lastourville Airport"
"","Nkan Airport"
"","Bongo Airport"
"FOGE","Ndende Airport"
"FOGG","Mbigou Airport"
"FOGJ","Ndjole Ville Airport"
"FOGM","Mouila Airport"
"","Medouneu Airport"
"FOGO","Oyem Airport"
"FOGI","Moabi Airport"
"EGNV","Teesside International Airport"
"EGQK","RAF Kinloss"
"EGEO","Oban Airport (North Connel Airport)"
"EGAC","George Best Belfast City Airport"
"EGPU","Tiree Airport"
"EGSH","Norwich International Airport"
"EGTO","Rochester Airport"
"EGNJ","Humberside Airport"
"EGVA","RAF Fairford"
"EGAA","Belfast International Airport"
"EGPD","Aberdeen Airport"
"EGNM","Leeds Bradford Airport"
"EGEN","North Ronaldsay Airport"
"EGHQ","Cornwall Airport Newquay"
"EGEI","Broadford Airfield"
"EGBN","Nottingham Airport"
"EGUB","RAF Benson"
"EGAE","City of Derry Airport"
"EGQL","RAF Leuchars"
"EGXH","RAF Honington"
"EGCN","Robin Hood Airport Doncaster Sheffield"
"EGEW","Westray Airport"
"EGHC","Land's End Airport"
"EGXU","RAF Linton-on-Ouse"
"EGQB","Ballykelly Airfield (RAF Ballykelly)"
"EGHJ","Bembridge Airport"
"EGLK","Blackbushe Airport"
"EGPL","Benbecula Airport"
"","Foula Airfield"
"EGTE","Exeter International Airport"
"EG74","Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport)"
"EGWU","RAF Northolt"
"EGLF","Farnborough Airport"
"EGDJ","RAF Upavon"
"EGES","Sanday Airport"
"EGTK","Oxford Airport (London Oxford Airport)"
"EGPN","Dundee Airport"
"","Dornoch Airport"
"EGUL","RAF Lakenheath"
"EGNT","Newcastle Airport"
"EGQS","RAF Lossiemouth"
"EGBJ","Gloucestershire Airport"
"EGXW","RAF Waddington"
"EGGP","Liverpool John Lennon Airport"
"EGDL","RAF Lyneham"
"EGAB","Enniskillen/St Angelo Airport"
"EGXP","RAF Scampton"
"","Papa Stour Airport"
"EGPT","Perth Airport (Scone Airport)"
"EGMD","Lydd Airport (London Ashford Airport)"
"EGPR","Barra Airport"
"EGHH","Bournemouth Airport"
"EGNR","Hawarden Airport (Chester Airport)"
"EGNH","Blackpool Airport"
"EGEP","Papa Westray Airport"
"","Coll Airport"
"EGCC","Manchester Airport"
"EGOV","Anglesey Airport / RAF Valley"
"EGXC","RAF Coningsby"
